user_id,email,signup_date
u-5-0000,frank0@mail.co,2026-01-01
u-5-0001,heidi1@example.com,2026-01-02
u-5-0002,frank2@test.org,2026-01-03
u-5-0003,dave3@example.com,2026-01-04
u-5-0004,alice4@test.org,2026-01-05
u-5-0005,alice5@test.org,2026-01-06
u-5-0006,heidi6@example.com,2026-01-07
u-5-0007,erin7@mail.co,2026-01-08
u-5-0008,bob8@test.org,2026-01-09
u-5-0009,bob9@corp.net,2026-01-10
u-5-0010,dave10@corp.net,2026-01-11
u-5-0011,frank11@example.com,2026-01-12
u-5-0012,erin12@test.org,2026-01-13
u-5-0013,erin13@corp.net,2026-01-14
u-5-0014,heidi14@corp.net,2026-01-15
u-5-0015,heidi15@test.org,2026-01-16
u-5-0016,erin16@example.com,2026-01-17
u-5-0017,alice17@test.org,2026-01-18
u-5-0018,grace18@test.org,2026-01-19
u-5-0019,dave19@corp.net,
u-5-0020,carol20@example.com,2026-01-21
u-5-0021,alice21@corp.net,2026-01-22
u-5-0022,alice22@example.com,2026-01-23
u-5-0023,dave23@mail.co,2026-01-24
u-5-0024,heidi24@example.com,2026-01-25
u-5-0025,missing-at.com,2026-01-26
,carol26@mail.co,2026-01-27
u-5-0027,erin27@corp.net,2026-01-28
u-5-0028,heidi28@test.org,2026-01-01
u-5-0029,heidi29@example.com,2026-01-02
u-5-0030,grace30@corp.net,2026-01-03
u-5-0031,dave31@example.com,2026-01-04
u-5-0032,heidi32@test.org,2026-01-05
u-5-0033,frank33@mail.co,2026-01-06
u-5-0034,user@@double.com,2026-01-07
u-5-0035,grace35@mail.co,2026-01-08
u-5-0036,,2026-01-09
u-5-0037,bob37@test.org,2026-01-10
u-5-0038,alice38@example.com,2026-01-11
u-5-0039,bob39@mail.co,2026-01-12
u-5-0040,grace40@example.com,
u-5-0041,dave41@corp.net,2026-01-14
u-5-0042,frank42@corp.net,2026-01-15
u-5-0043,frank43@corp.net,2026-01-16
u-5-0044,carol44@test.org,2026-01-17
u-5-0045,carol45@example.com,2026-01-18
u-5-0046,carol46@mail.co,2026-01-19
u-5-0047,bob47@test.org,2026-01-20
u-5-0048,erin48@example.com,2026-01-21
u-5-0049,alice49@test.org,2026-01-22
