user_id,email,signup_date
u-1-0000,grace0@mail.co,2026-01-01
u-1-0001,grace1@test.org,2026-01-02
u-1-0002,grace2@mail.co,2026-01-03
u-1-0003,alice3@example.com,2026-01-04
u-1-0004,heidi4@mail.co,2026-01-05
u-1-0005,@nodomain.com,2026-01-06
u-1-0006,carol6@example.com,2026-01-07
u-1-0007,erin7@corp.net,2026-01-08
u-1-0008,bob8@corp.net,2026-01-09
u-1-0009,bob9@test.org,2026-01-10
u-1-0010,frank10@mail.co,2026-01-11
u-1-0011,grace11@example.com,2026-01-12
u-1-0012,not-an-email,2026-01-13
u-1-0013,grace13@test.org,2026-01-14
u-1-0014,dave14@mail.co,2026-01-15
u-1-0015,heidi15@mail.co,2026-01-16
u-1-0016,alice16@example.com,2026-01-17
u-1-0017,frank17@corp.net,2026-01-18
u-1-0018,carol18@example.com,2026-01-19
u-1-0019,frank19@mail.co,2026-01-20
u-1-0020,alice20@example.com,2026-01-21
u-1-0021,dave21@test.org,2026-01-22
u-1-0022,heidi22@example.com,2026-01-23
u-1-0023,heidi23@example.com,2026-01-24
u-1-0024,carol24@mail.co,2026-01-25
u-1-0025,bob25@corp.net,2026-01-26
u-1-0026,erin26@test.org,2026-01-27
u-1-0027,bob27@example.com,2026-01-28
u-1-0028,dave28@example.com,2026-01-01
u-1-0029,heidi29@mail.co,2026-01-02
u-1-0030,frank30@example.com,2026-01-03
u-1-0031,bob31@test.org,2026-01-04
u-1-0032,frank32@corp.net,2026-01-05
u-1-0033,alice33@corp.net,2026-01-06
u-1-0034,erin34@test.org,2026-01-07
u-1-0035,heidi35@corp.net,2026-01-08
u-1-0036,erin36@test.org,2026-01-09
u-1-0037,dave37@example.com,2026-01-10
u-1-0038,erin38@mail.co,2026-01-11
u-1-0039,carol39@example.com,2026-01-12
u-1-0040,dave40@test.org,2026-01-13
u-1-0041,erin41@example.com,2026-01-14
u-1-0042,bob42@example.com,2026-01-15
u-1-0043,bob43@example.com,2026-01-16
u-1-0044,dave44@example.com,2026-01-17
u-1-0045,dave45@corp.net,2026-01-18
u-1-0046,grace46@example.com,2026-01-19
u-1-0047,heidi47@example.com,2026-01-20
u-1-0048,not-an-email,2026-01-21
u-1-0049,bob49@corp.net,2026-01-22
