user_id,email,signup_date
u-2-0000,carol0@example.com,2026-01-01
u-2-0001,grace1@example.com,2026-01-02
u-2-0002,dave2@mail.co,2026-01-03
u-2-0003,alice3@corp.net,2026-01-04
u-2-0004,alice4@mail.co,2026-01-05
u-2-0005,carol5@test.org,2026-01-06
u-2-0006,heidi6@test.org,2026-01-07
u-2-0007,bob7@corp.net,2026-01-08
u-2-0008,,2026-01-09
u-2-0009,user@,2026-01-10
u-2-0010,carol10@corp.net,2026-01-11
u-2-0011,bob11@corp.net,2026-01-12
u-2-0012,bob12@mail.co,2026-01-13
u-2-0013,alice13@example.com,2026-01-14
u-2-0014,@nodomain.com,2026-01-15
u-2-0015,alice15@corp.net,2026-01-16
u-2-0016,erin16@example.com,2026-01-17
u-2-0017,not-an-email,2026-01-18
u-2-0018,bob18@example.com,2026-01-19
u-2-0019,dave19@example.com,2026-01-20
u-2-0020,dave20@example.com,2026-01-21
u-2-0021,dave21@corp.net,2026-01-22
u-2-0022,frank22@corp.net,2026-01-23
u-2-0023,heidi23@mail.co,2026-01-24
u-2-0024,erin24@mail.co,2026-01-25
u-2-0025,grace25@example.com,2026-01-26
,carol26@example.com,2026-01-27
u-2-0027,erin27@test.org,2026-01-28
u-2-0028,grace28@example.com,2026-01-01
u-2-0029,grace29@test.org,2026-01-02
u-2-0030,user@@double.com,2026-01-03
u-2-0031,grace31@example.com,2026-01-04
u-2-0032,grace32@mail.co,2026-01-05
u-2-0033,bob33@test.org,2026-01-06
u-2-0034,bob34@example.com,2026-01-07
u-2-0035,dave35@corp.net,2026-01-08
u-2-0036,grace36@test.org,2026-01-09
u-2-0037,erin37@test.org,2026-01-10
u-2-0038,,2026-01-11
u-2-0039,carol39@example.com,2026-01-12
u-2-0040,grace40@test.org,2026-01-13
u-2-0041,bob41@test.org,2026-01-14
u-2-0042,erin42@corp.net,2026-01-15
u-2-0043,heidi43@example.com,2026-01-16
u-2-0044,frank44@test.org,2026-01-17
u-2-0045,dave45@corp.net,2026-01-18
u-2-0046,bob46@test.org,2026-01-19
u-2-0047,bob47@mail.co,2026-01-20
u-2-0048,carol48@example.com,2026-01-21
u-2-0049,carol49@test.org,2026-01-22
