user_id,email,signup_date
u-6-0000,alice0@mail.co,
u-6-0001,erin1@mail.co,2026-01-02
u-6-0002,bob2@corp.net,2026-01-03
u-6-0003,user@,2026-01-04
u-6-0004,alice4@test.org,2026-01-05
u-6-0005,alice5@example.com,2026-01-06
u-6-0006,erin6@test.org,2026-01-07
u-6-0007,bob7@example.com,2026-01-08
u-6-0008,grace8@example.com,2026-01-09
u-6-0009,heidi9@corp.net,2026-01-10
u-6-0010,heidi10@test.org,2026-01-11
u-6-0011,frank11@corp.net,2026-01-12
u-6-0012,bob12@corp.net,2026-01-13
u-6-0013,user@@double.com,2026-01-14
u-6-0014,bob14@mail.co,
u-6-0015,bob15@corp.net,2026-01-16
u-6-0016,dave16@mail.co,2026-01-17
u-6-0017,carol17@test.org,2026-01-18
u-6-0018,bob18@example.com,2026-01-19
u-6-0019,bob19@example.com,2026-01-20
u-6-0020,heidi20@test.org,2026-01-21
u-6-0021,frank21@mail.co,2026-01-22
u-6-0022,dave22@example.com,2026-01-23
u-6-0023,grace23@example.com,2026-01-24
u-6-0024,alice24@corp.net,2026-01-25
u-6-0025,heidi25@corp.net,2026-01-26
u-6-0026,bob26@test.org,2026-01-27
u-6-0027,grace27@example.com,2026-01-28
u-6-0028,@nodomain.com,2026-01-01
u-6-0029,carol29@example.com,2026-01-02
u-6-0030,grace30@corp.net,2026-01-03
u-6-0031,dave31@example.com,2026-01-04
u-6-0032,heidi32@example.com,2026-01-05
u-6-0033,frank33@corp.net,2026-01-06
u-6-0034,alice34@mail.co,2026-01-07
u-6-0035,erin35@corp.net,2026-01-08
u-6-0036,carol36@test.org,2026-01-09
u-6-0037,erin37@mail.co,2026-01-10
u-6-0038,bob38@example.com,2026-01-11
u-6-0039,carol39@corp.net,2026-01-12
u-6-0040,bob40@test.org,2026-01-13
u-6-0041,alice41@example.com,2026-01-14
u-6-0042,grace42@mail.co,2026-01-15
u-6-0043,carol43@test.org,2026-01-16
u-6-0044,erin44@example.com,2026-01-17
u-6-0045,carol45@corp.net,2026-01-18
u-6-0046,frank46@example.com,2026-01-19
u-6-0047,alice47@mail.co,2026-01-20
u-6-0048,grace48@example.com,2026-01-21
u-6-0049,frank49@test.org,2026-01-22
