user_id,email,signup_date
u-0-0000,heidi0@mail.co,2026-01-01
u-0-0001,grace1@mail.co,2026-01-02
u-0-0002,dave2@mail.co,2026-01-03
u-0-0003,frank3@corp.net,2026-01-04
u-0-0004,@nodomain.com,2026-01-05
u-0-0005,carol5@example.com,2026-01-06
u-0-0006,carol6@corp.net,
u-0-0007,grace7@mail.co,2026-01-08
u-0-0008,alice8@corp.net,2026-01-09
u-0-0009,dave9@mail.co,2026-01-10
u-0-0010,bob10@test.org,2026-01-11
u-0-0011,carol11@test.org,2026-01-12
u-0-0012,bob12@example.com,2026-01-13
u-0-0013,frank13@example.com,2026-01-14
u-0-0014,erin14@test.org,2026-01-15
u-0-0015,bob15@mail.co,2026-01-16
u-0-0016,erin16@corp.net,2026-01-17
u-0-0017,frank17@mail.co,2026-01-18
u-0-0018,dave18@test.org,2026-01-19
u-0-0019,heidi19@example.com,2026-01-20
u-0-0020,erin20@corp.net,2026-01-21
u-0-0021,heidi21@test.org,2026-01-22
u-0-0022,,2026-01-23
u-0-0023,alice23@example.com,2026-01-24
u-0-0024,carol24@corp.net,2026-01-25
u-0-0025,not-an-email,2026-01-26
u-0-0026,frank26@mail.co,2026-01-27
u-0-0027,dave27@mail.co,2026-01-28
u-0-0028,frank28@test.org,2026-01-01
u-0-0029,frank29@test.org,2026-01-02
u-0-0030,heidi30@mail.co,2026-01-03
u-0-0031,grace31@example.com,2026-01-04
u-0-0032,dave32@mail.co,2026-01-05
u-0-0033,erin33@test.org,2026-01-06
u-0-0034,grace34@test.org,2026-01-07
u-0-0035,alice35@mail.co,2026-01-08
u-0-0036,bob36@corp.net,2026-01-09
u-0-0037,grace37@corp.net,2026-01-10
u-0-0038,grace38@corp.net,2026-01-11
u-0-0039,alice39@test.org,2026-01-12
u-0-0040,alice40@example.com,2026-01-13
u-0-0041,dave41@mail.co,2026-01-14
u-0-0042,missing-at.com,2026-01-15
u-0-0043,bob43@example.com,2026-01-16
u-0-0044,carol44@test.org,2026-01-17
u-0-0045,dave45@test.org,2026-01-18
u-0-0046,bob46@mail.co,2026-01-19
u-0-0047,alice47@mail.co,2026-01-20
u-0-0048,not-an-email,2026-01-21
u-0-0049,heidi49@test.org,2026-01-22
