user_id,email,signup_date
u-7-0000,carol0@mail.co,2026-01-01
u-7-0001,alice1@mail.co,2026-01-02
u-7-0002,alice2@corp.net,2026-01-03
u-7-0003,erin3@example.com,2026-01-04
u-7-0004,alice4@corp.net,2026-01-05
u-7-0005,dave5@mail.co,2026-01-06
u-7-0006,bob6@example.com,2026-01-07
u-7-0007,alice7@test.org,2026-01-08
u-7-0008,grace8@test.org,2026-01-09
u-7-0009,erin9@mail.co,2026-01-10
u-7-0010,alice10@test.org,2026-01-11
,bob11@mail.co,2026-01-12
u-7-0012,alice12@corp.net,2026-01-13
u-7-0013,bob13@corp.net,2026-01-14
u-7-0014,grace14@test.org,2026-01-15
u-7-0015,grace15@test.org,2026-01-16
u-7-0016,alice16@corp.net,2026-01-17
u-7-0017,erin17@corp.net,2026-01-18
u-7-0018,carol18@mail.co,2026-01-19
u-7-0019,user@@double.com,2026-01-20
u-7-0020,carol20@corp.net,2026-01-21
u-7-0021,dave21@example.com,2026-01-22
u-7-0022,dave22@example.com,2026-01-23
u-7-0023,frank23@test.org,2026-01-24
u-7-0024,frank24@example.com,2026-01-25
u-7-0025,carol25@mail.co,2026-01-26
u-7-0026,erin26@corp.net,2026-01-27
u-7-0027,dave27@test.org,2026-01-28
u-7-0028,bob28@test.org,2026-01-01
u-7-0029,alice29@mail.co,2026-01-02
u-7-0030,carol30@test.org,2026-01-03
u-7-0031,dave31@test.org,2026-01-04
u-7-0032,alice32@example.com,2026-01-05
u-7-0033,heidi33@corp.net,2026-01-06
u-7-0034,grace34@test.org,2026-01-07
u-7-0035,heidi35@mail.co,2026-01-08
u-7-0036,bob36@test.org,2026-01-09
u-7-0037,dave37@example.com,2026-01-10
u-7-0038,,2026-01-11
u-7-0039,frank39@corp.net,2026-01-12
u-7-0040,carol40@mail.co,2026-01-13
u-7-0041,erin41@example.com,2026-01-14
u-7-0042,dave42@test.org,2026-01-15
u-7-0043,bob43@corp.net,2026-01-16
u-7-0044,heidi44@corp.net,2026-01-17
u-7-0045,erin45@example.com,2026-01-18
u-7-0046,grace46@corp.net,2026-01-19
u-7-0047,erin47@corp.net,2026-01-20
u-7-0048,carol48@mail.co,2026-01-21
u-7-0049,carol49@corp.net,2026-01-22
